With key 0, the text is TEAMO 
With key 1, the text is SDZLN 
With key 2, the text is RCYKM 
With key 3, the text is QBXJL 
With key 4, the text is PAWIK 
With key 5, the text is OZVHJ 
With key 6, the text is NYUGI 
With key 7, the text is MXTFH 
With key 8, the text is LWSEG 
With key 9, the text is KVRDF 
With key 10, the text is JUQCE 
With key 11, the text is ITPBD 
With key 12, the text is HSOAC 
With key 13, the text is GRNZB 
With key 14, the text is FQMYA 
With key 15, the text is EPLXZ 
With key 16, the text is DOKWY 
With key 17, the text is CNJVX 
With key 18, the text is BMIUW 
With key 19, the text is ALHTV 
With key 20, the text is ZKGSU 
With key 21, the text is YJFRT 
With key 22, the text is XIEQS 
With key 23, the text is WHDPR 
With key 24, the text is VGCOQ 
With key 25, the text is UFBNP 
